distribution,variant,weight,collapsed_coordinate_fraction,coordinate_std_mean,coordinate_std_min,covariance_condition_number,covariance_identity_rmse,effective_rank,linear_probe_r2,predicted_next_state_r2,prediction_mse,seed,sigreg_statistic,train_seconds
gaussian,prediction-only,0.0,1.0,0.0006026650637808076,0.0005505176331862823,2.913038251514743,0.35355326156074735,7.633218409033315,0.01545756341361082,0.0031211422979025016,2.091895794364973e-07,0,1649.28076171875,4.4918151162564754
gaussian,prediction-only,0.0,1.0,0.0006699987659721023,0.0005766097329869255,3.3549850860085164,0.35355322955208324,7.490897182364557,0.012344289838305933,-0.0012910122031057902,2.739895421655092e-07,1,1653.3927001953125,4.073514227755368
gaussian,prediction-only,0.0,1.0,0.0007107758272549006,0.0005696223932175227,3.9978285492536445,0.3535532082842208,7.22007365920911,0.01013793211662628,0.0004320207674884946,3.1566847269459686e-07,2,1651.045166015625,4.200081164948642
gaussian,variance,0.25,0.0,1.0393707299080797,1.0245246414691513,258974.65664291324,1.0010203494010255,1.0522463374789237,0.3061739023043333,0.15294725582983815,0.010026541538536549,0,717.3626708984375,6.843750663101673
gaussian,variance,0.25,0.0,1.0714406022551655,1.0496845601939726,173902.6504315261,1.054326709445322,1.0940130996010045,0.4103724944432924,0.2826259072596349,0.010744808241724968,1,730.50830078125,6.198372319340706
gaussian,variance,0.25,0.0,1.0950426223922356,1.0344125699174578,267705.7520877001,1.1094020499070734,1.0691981249321787,0.3349189383923812,0.2913968128849427,0.010584231466054916,2,718.2817993164062,5.773615350946784
gaussian,variance,1.0,0.0,1.0412392403894695,0.9991592174185285,134432.98964154444,0.9996198599024313,1.0768825252912864,0.33467670723228904,0.3173264051745269,0.010641752742230892,0,706.561279296875,6.533711586147547
gaussian,variance,1.0,0.0,1.1049300997257605,1.0214388996927226,50920.328045625276,0.9575477892972659,1.6082026581030757,0.5135665081333336,0.45373544882234373,0.012344889342784882,1,549.1021728515625,5.920725808478892
gaussian,variance,1.0,0.0,1.1052927693746308,1.0345474687621667,155042.6363548126,1.1334259733071117,1.0667046796969502,0.39937651753399084,0.30876146090214374,0.011628031730651855,2,710.3828125,5.701060022227466
gaussian,variance,4.0,0.0,1.2670191728640214,1.1068773465606694,45602.61006289271,1.438266544142849,1.2578602302993331,0.5279900089424036,0.44502593179246264,0.017737016081809998,0,686.3089599609375,6.694508144631982
gaussian,variance,4.0,0.0,1.1676907766916143,1.0479030110283696,21701.173265198075,0.9987052931517416,1.9246486397852618,0.5674624683513565,0.5363401208522366,0.015016819350421429,1,470.00970458984375,5.606251352466643
gaussian,variance,4.0,0.0,1.1699551625454276,1.0430597068408756,89810.09176423005,1.2730514922201503,1.1227573450785908,0.5391491624690203,0.46499330470144684,0.013817159458994865,2,702.07373046875,5.650075762532651
gaussian,sigreg,0.002,0.0,0.9952801604774447,0.9766018381871273,1.237284112702769,0.02338414877244452,7.982650915450735,0.9603812693897648,0.9526105967187367,0.01240309327840805,0,3.9378490447998047,8.134646723046899
gaussian,sigreg,0.002,0.0,0.9999851007452187,0.984095619442942,1.3671041256695982,0.034892475255307434,7.960759354448488,0.8066216679497623,0.7922616494565762,0.015597796998918056,1,7.3431854248046875,7.631350040435791
gaussian,sigreg,0.002,0.0,0.9929476954428245,0.9733286988212357,1.2523364078435562,0.025793383493936884,7.978709484211478,0.9629715161548407,0.9555238144289837,0.012554826214909554,2,3.831195831298828,7.652592991478741
gaussian,sigreg,0.005,0.0,1.0045873159807703,0.983283740491937,1.2093985090009187,0.022918310842943178,7.983980111370919,0.9602046071810723,0.9529920183655575,0.014400664716959,0,4.336941719055176,8.771562178619206
gaussian,sigreg,0.005,0.0,1.0039518193451582,0.9606273308713759,1.3534356524782247,0.031668051400742615,7.968594272526557,0.9613716880779656,0.9547995841478643,0.014097068458795547,1,4.582322120666504,8.584941097535193
gaussian,sigreg,0.005,0.0,1.0032936034861477,0.9785613543546625,1.2805797551062914,0.028397425012960213,7.974632445136394,0.9605534996586754,0.953798787543983,0.014570463448762894,2,4.601082801818848,7.684311617165804
gaussian,sigreg,0.01,0.0,1.0120778311812684,0.9867343246114546,1.2076644272845616,0.02473931836101638,7.983731590560813,0.9570297172309433,0.9502456949935809,0.01628364622592926,0,4.625851631164551,8.822948469780385
